No,Branch,Type,Question,Options
1,GeneralQuestion,SingleChoice,How old are you?,"[""Under 18"", ""18-24"", ""25-34"", ""35-44"", ""45-54"", ""55-64"", ""65 or older""]"
2,GeneralQuestion,SingleChoice,What is the highest level of education you have completed?,"[""Less than high school"", ""High school diploma or equivalent"", ""College/CEGEP"", ""Bachelor掇 degree"", ""Graduate or professional degree"", ""Prefer not to answer""]"
3,GeneralQuestion,SingleChoice,Please specify your gender:,"[""Male"", ""Female"", ""Other"", ""Prefer not to answer""]"
4,GeneralQuestion,SingleChoice,What is your current occupation status?,"[""Full-time employed"", ""Part-time employed"", ""Student only"", ""Student and employed"", ""Unemployed"", ""Retired"", ""Other""]"
5,GeneralQuestion,SingleChoice,"**Including yourself**, how many people currently live in your household?","[""1"", ""2"", ""3"", ""4"", ""5"", ""6 and more""]"
6,GeneralQuestion,SingleChoice,What is the approximate total annual income of your **entire household**? ,"[""$0 - $20,000"", ""$20,000 - $39,999"", ""$40,000 - $79,999"", ""$80,000 - $124,999"", ""$125,000 - $199,999"", ""$200,000 and over"", ""Prefer not to answer""]"
7,GeneralQuestion,MultipleChoice,Do you currently own or have access to? ,"[""Personal Bicycle"", ""Personal e-bike"", ""E-scooter"", ""Bike sharing"", ""I don掐 use any of the above options""]"
8,GeneralQuestion,Text,What is your postal code?<br/>*Your information will remain confidential!*,
9,GeneralQuestion,SingleChoice,Did you grow up in Canada before the age of 15?,"[""Yes"", ""No"", ""I don掐 know""]"
10,GeneralQuestion,SingleChoice,Do you have a valid driver掇 license?,"[""Yes"", ""No""]"
11,GeneralQuestion,SingleChoice,How many motor vehicles are available within your household?,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5 and more""]"
12,GeneralQuestion,Scale,"Thinking of your **regular commuting trips** during weekdays, over the **Winter**, how often did you use the following modes:","{""Walking ONLY (days/week)"": 7, ""Biking (days/week)"": 7, ""Transit (Bus or Metro)  (days/week)"": 7, ""Driving a car (days/week)"": 7, ""Ridesharing (Uber) (days/week)"": 7, ""Carsharing (days/week)"": 7, ""Driving a car + public transport (days/week)"": 7, ""Biking + public transport (days/week)"": 7, ""Others (days/week)"": 7}"
13,GeneralQuestion,Scale,"Thinking of your **regular commuting trips** during weekdays, over the **Summer**, how often did you use the following modes:","{""Walking ONLY (days/week)"": 7, ""Biking (days/week)"": 7, ""Transit (Bus or Metro)  (days/week)"": 7, ""Driving a car (days/week)"": 7, ""Ridesharing (Uber) (days/week)"": 7, ""Carsharing (days/week)"": 7, ""Driving a car + public transport (days/week)"": 7, ""Biking + public transport (days/week)"": 7, ""Others (days/week)"": 7}"
14,GeneralQuestion,SingleChoice,How much time do you typically spend commuting one way? ,"[""Less than 15 minutes"", ""15-30 minutes"", ""30-45 minutes"", ""45-60 minutes"", ""More than 60 minutes""]"
15,GeneralQuestion,Scale,What is your main concern influencing your choice of transportation mode? ,"{""Environmental Concern"": 5, ""Trip purpose"": 5, ""Weather conditions (e.g., rain, temperature, snow)"": 5, ""Travel time and Cost (Residential Preference)"": 5, ""Comfort"": 5, ""Convenience"": 5, ""Safety concerns"": 5, ""Other"": 5}"
16,"Mode {""Winter"": ""Biking"", ""Sumer"": ""Biking""}",MultipleChoice,What type of bicycle do you use?,"[""Bike sharing (regular)"", ""Bike sharing (electric)"", ""Personal regular bike"", ""Personal e-bike"", ""Personal e-scooter"", ""Others""]"
17,"Mode {""Winter"": ""Biking"", ""Sumer"": ""Biking""}",SingleChoice,Which of the following statements describes your intention and use of the bicycle as a mode of transport?,"[""I do not use a bicycle for transport, and I do not see any reason to start cycling."", ""I do not use a bicycle for transport, I would like to, but I feel it is impossible to start cycling."", ""I do not use a bicycle for transport, but I am thinking about starting to cycle regularly, but I have no concrete plans."", ""I rarely make trips by bike. My aim is to start doing more soon. I know which trips to replace, which itinerary to take, but have not started to do so on a regular basis."", ""I use a bicycle for transport, but I掭 not sure I will continue."", ""I use a bicycle for transport, and I will continue or increase my bicycle use.""]"
18,"Mode {""Winter"": ""Biking"", ""Sumer"": ""Biking""}",SingleChoice,How long have you been cycling for transport?,"[""Less than 1 year"", ""1 to about 2 years"", ""About 3 to 5 years"", ""More than 5 years""]"
19,"Mode {""Winter"": ""Biking"", ""Sumer"": ""Biking""}",SingleChoice,How would you assess your ability to ride a bicycle?,"[""I am very confident riding a bicycle."", ""I am somewhat confident riding a bicycle."", ""I can ride a bicycle, but I am not very confident doing so."", ""I cannot ride a bicycle at all because I do not know how (Cannot ride)"", ""I cannot ride a bicycle due to a disability and/or a health condition.""]"
20,"Mode {""Winter"": ""Biking"", ""Sumer"": ""Biking""}",Scale,"What motivates you to choose cycling, and on which scale?","{""Health benefits (e.g., exercise)"": 5, ""Cost savings"": 5, ""Environmental benefits"": 5, ""Flexibility in travel schedule"": 5, ""Avoiding delays and overcrowding"": 5, ""Shorter travel time"": 5, ""Dedicated bike lanes and paths"": 5, ""Bike accessibility"": 5, ""Others"": 5}"
21,"Mode {""Winter"": ""Biking"", ""Sumer"": ""Biking""}",SingleChoice,"How accessible is public transportation from your home area (e.g., bus stop, metro station)?","[""Less than 5 minutes walking distance"", ""5-10 minutes walking distance"", ""10-20 minutes walking distance"", ""More than 20 minutes walking distance""]"
22,"Mode {""Winter"": ""Biking"", ""Sumer"": ""Biking""}",Scale,How much do you agree with the following statements? (1 strongly disagree; 5 strongly agree),"{"" enjoy biking for my regular trips."": 5, ""It掇 easier to get around by other modes (car, public transport, walking)"": 5, ""Cycling is too much physical effort"": 5, ""It is difficult to keep up my personal appearance if I cycle"": 5, ""I am concerned about the traffic danger when cycling"": 5, ""I am concerned about theft when locking my bicycle in the locations"": 5, ""There is not enough protected cycling infrastructure on the way to my destinations"": 5, ""My friends and family support my decision to bike"": 5, ""Biking allows me to reach most of my desired destinations"": 5, ""It is easy for me to navigate to places I need to go by bike."": 5}"
